MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
50990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
28990,Infinix,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
84990,MSI,I7,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
181990,APPLE,OTHER,16 ,OTHER,MAC,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
109990,MSI,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
32990,SAMSUNG,OTHER,4 ,DDR4,WINDOWS,OTHER,1 YEAR,OTHER
37990,Infinix,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
139990,APPLE,OTHER,8 ,OTHER,MAC,SSD,1 YEAR,512 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
29990,Lenovo,I3,4 ,DDR4,WINDOWS,SSD,1 YEAR,256 
19490,Lenovo,OTHER,4 ,DDR4,OTHER,OTHER,1 YEAR,OTHER
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
73490,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
52990,ASUS,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
41890,HP,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
30428,DELL,OTHER,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
34990,acer,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
19490,Lenovo,OTHER,4 ,DDR4,OTHER,OTHER,1 YEAR,OTHER
29990,Lenovo,I3,4 ,DDR4,WINDOWS,SSD,1 YEAR,256 
88990,APPLE,OTHER,8 ,DDR4,MAC,SSD,1 YEAR,256 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
65990,MSI,I7,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
33490,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
60990,HP,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
46990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
59990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
114990,MSI,I7,16 ,DDR4,WINDOWS,SSD,2 YEAR,1 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
119990,ASUS,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
42990,Infinix,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
89990,ASUS,I5,16 ,DDR5,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
79990,MSI,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
70990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,1 
33900,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
59990,realme,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
52990,Infinix,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
124990,APPLE,OTHER,16 ,DDR4,MAC,SSD,1 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
31990,RedmiBook,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
66990,acer,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
89081,DELL,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
104990,APPLE,OTHER,8 ,DDR4,MAC,SSD,1 YEAR,512 
53490,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
45990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
45990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
51990,MSI,I5,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
75990,HP,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
78800,HP,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
29390,HP,OTHER,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
30990,Infinix,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
62490,Lenovo,I5,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
89990,ASUS,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
58899,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
85990,MSI,I5,16 ,DDR4,WINDOWS,SSD,2 YEAR,512 
33099,DELL,RYZEN,8 ,DDR4,WINDOWS,HDD,1 YEAR,1 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
73490,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
63490,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
38990,ASUS,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
67990,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
39790,HP,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
241990,APPLE,OTHER,16 ,OTHER,MAC,SSD,1 YEAR,1 
104990,APPLE,OTHER,8 ,DDR4,MAC,SSD,1 YEAR,512 
42190,DELL,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
39990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
99990,ASUS,I7,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
309490,APPLE,OTHER,32 ,OTHER,MAC,SSD,1 YEAR,1 
64990,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,256 
89990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
194990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
44990,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
